,CustomerID,Gender,Age,Annual Income,Spending Score,cluster
126,127,Male,43,71.0,35.0,7
128,129,Male,59,71.0,11.0,7
130,131,Male,47,71.0,9.0,7
134,135,Male,20,73.0,5.0,7
136,137,Female,44,73.0,7.0,7
138,139,Male,19,74.0,10.0,7
140,141,Female,57,75.0,5.0,7
144,145,Male,25,77.0,12.0,7
146,147,Male,48,77.0,36.0,7
148,149,Female,34,78.0,22.0,7
152,153,Female,44,78.0,20.0,7
154,155,Female,47,78.0,16.0,7
156,157,Male,37,78.0,1.0,7
158,159,Male,34,78.0,1.0,7
160,161,Female,56,79.0,35.0,7
162,163,Male,19,81.0,5.0,7
164,165,Male,50,85.0,26.0,7
166,167,Male,42,86.0,20.0,7
168,169,Female,36,87.0,27.0,7
170,171,Male,40,87.0,13.0,7
172,173,Male,36,87.0,10.0,7
174,175,Female,52,88.0,13.0,7
176,177,Male,58,88.0,15.0,7
